taskType,dateTime,duration,location,title,description,priority,contextLocation
Work,2025-09-25T08:45,150,Work,Close fiscal books,End-of-period reconciliation — CRITICAL,High,Gym
Work,2025-10-06T22:00,60,Work,Draft proposal outline (revision),Important but not urgent; prepare structure for next week,Medium,Home
Home,2025-10-08T07:30,75,Home,Plan weekend chores,Split tasks over two days,Medium,Home
Leisure,2025-09-27T13:30,40,Other,Browse social media (bonus),Catch up on friends,Low,Other
Home,2025-09-25T14:15,20,Home,Fold laundry,Quick fold session,Low,Home
Work,2025-09-30T20:30,120,Work,Prepare board meeting brief (EOD),Finalize slides; last-minute changes expected — URGENT,High,Home
Home,2025-10-05T06:45,40,Home,Organize junk drawer (bonus),Quick declutter,Low,Other
Leisure,2025-09-29T21:45,50,Other,Take a walk in park,Light stroll,Low,Other
Work,2025-09-28T15:00,105,Other,Code review for release (final pass),Time-sensitive; unblock deployment — URGENT,High,Park
Leisure,2025-10-06T18:45,35,Other,Try a short yoga flow,Gentle routine,Low,Clinic
Leisure,2025-09-29T22:00,25,Home,Watch stand-up,Comedy break,Low,Home
Work,2025-10-02T06:30,135,Work,Incident postmortem write-up (EOD),Leadership review today — CRITICAL,High,Work
Work,2025-10-04T17:45,55,Work,Prepare team retro notes (outline),Summarize lessons; share with team,Medium,Work
Work,2025-10-04T07:00,15,Work,Draft Q&A for webinar,Prepare likely questions,Medium,Work
Work,2025-10-09T07:00,180,Work,Prepare board meeting brief,Finalize slides; last-minute changes expected — CRITICAL,High,Work
Home,2025-10-09T18:15,40,Home,Reorganize closet,"Sort, donate, label boxes",Medium,Home
Home,2025-09-26T14:30,60,Home,Assemble donation box,Clothes and books,Medium,Home
Other,2025-09-27T17:30,60,Other,Clean phone screen,Wipe and sanitize,Low,Other
Work,2025-09-29T15:30,75,Work,Escalated SLA breach,Resolve outage penalties — URGENT,High,Work
Work,2025-10-09T08:30,105,Work,Finalize presentation deck for client (EOD),Deadline today—review and submit to manager ASAP — ASAP,High,Work
Work,2025-10-09T11:00,90,Other,Customer renewal negotiation,High risk account; urgent call,High,Gym
Leisure,2025-10-01T07:30,50,Other,Browse social media (low energy),Catch up on friends,Low,Other
Home,2025-09-26T16:00,120,Home,Sort photo library (outline),Remove duplicates; add albums,Medium,Home
Leisure,2025-10-03T15:15,25,Park,Watch a movie (new) [a698],Casual evening activity,Low,Park
Work,2025-09-28T10:45,60,Work,Address payroll error,Time-critical fix — DEADLINE,High,Work
